Date,Price,Returns,Returns_forward,Market_Cap,Energy_TWh_Annual,electricity_price,daily_cost_usd,cumulative_cost,CEIR,CEIR_stable,log_CEIR,fear_greed_index,post_china_ban,in_analysis_period
2022-02-02,38805.12,0.009765853704232885,-0.048961838025497695,738492226015.931,102.390164456067,0.076234375,21385342.995768443,19946841246.558517,37.02301617020916,37.02301617020916,3.6115397779002407,28.0,1,1
2022-02-03,36905.15,-0.048961838025497695,0.001562383569772674,702368776272.7845,103.433175989859,0.076234375,21603187.742060013,19968444434.30058,35.17393548524482,35.17393548524482,3.5603053391521677,20.0,1,1
2022-02-04,36962.81,0.001562383569772674,0.0996390696486551,703500670209.6229,100.805718234384,0.076234375,21054413.49595717,19989498847.796535,35.1935121318547,35.1935121318547,3.5608617511801124,20.0,1,1
2022-02-05,40645.75,0.0996390696486551,0.025759150710713996,773634768960.6748,97.5981253357418,0.076234375,20384471.468882028,20009883319.26542,38.662632690907444,38.662632690907444,3.654873570036529,33.0,1,1
2022-02-06,41692.75,0.025759150710713996,-0.0005926689892127301,793601849041.329,98.5033934354266,0.076234375,20573546.94227082,20030456866.20769,39.61975776898889,39.61975776898889,3.6793279273947967,37.0,1,1
2022-02-07,41668.04,-0.0005926689892127301,0.05836919615129488,793170369798.0503,97.8598353744715,0.076234375,20439132.56815267,20050895998.775845,39.55785167139041,39.55785167139041,3.677764199703328,45.0,1,1
2022-02-08,44100.17,0.05836919615129488,0.0028491953659135483,839508199595.6833,97.8867228763095,0.076234375,20444748.32677714,20071340747.102623,41.82621431091342,41.82621431091342,3.73352327958744,48.0,1,1
2022-02-09,44225.82,0.0028491953659135483,0.006510450230204912,841941332942.2964,96.8050520023495,0.076234375,20218829.14038798,20091559576.24301,41.905225413055454,41.905225413055454,3.7354105306810257,54.0,1,1
2022-02-10,44513.75,0.006510450230204912,-0.01662969307236528,847464209177.0521,97.0105272545344,0.076234375,20261744.968958616,20111821321.21197,42.13761626269174,42.13761626269174,3.7409408396828456,50.0,1,1
2022-02-11,43773.5,-0.01662969307236528,-0.027791700458039692,833411889779.5417,98.3673407098517,0.076234375,20545130.79295233,20132366452.004925,41.39661831441304,41.39661831441304,3.723199194268274,50.0,1,1
2022-02-12,42556.96,-0.027791700458039692,-0.015822088795816147,810289555151.2489,105.28953578692,0.076234375,21990909.465084873,20154357361.47001,40.20418714517367,40.20418714517367,3.693971148041065,44.0,1,1
2022-02-13,41883.62,-0.015822088795816147,0.009363565040462207,797508035797.3536,106.036453111847,0.076234375,22146911.58958482,20176504273.059593,39.52657135271027,39.52657135271027,3.6769731382245885,44.0,1,1
2022-02-14,42275.8,0.009363565040462207,-0.0007124643413016774,805014854188.1141,108.242461670046,0.076234375,22607661.407883324,20199111934.467476,39.85397263007629,39.85397263007629,3.685222089855409,46.0,1,1
2022-02-15,42245.68,-0.0007124643413016774,0.04175740572763886,804480563201.3591,111.338581404201,0.076234375,23254321.004755847,20222366255.472233,39.781722526347,39.781722526347,3.6834075738042635,46.0,1,1
2022-02-16,44009.75,0.04175740572763886,0.0016996233789103865,838114457584.4746,113.659563697681,0.076234375,23739084.387028493,20246105339.85926,41.39632998621456,41.39632998621456,3.7231922292258544,51.0,1,1
2022-02-17,44084.55,0.0016996233789103865,-0.0770900462860572,839579859656.1006,115.801383760617,0.076234375,24186427.71267339,20270291767.571934,41.41922914988555,41.41922914988555,3.7237452452168944,52.0,1,1
2022-02-18,40686.07,-0.0770900462860572,-0.01740079589894039,774894359869.7253,116.296738137145,0.076234375,24289888.07239428,20294581655.64433,38.1823273333753,38.1823273333753,3.6423727733118683,30.0,1,1
2022-02-19,39978.1,-0.01740079589894039,-0.0012339255742519484,761447657235.2152,113.947095189487,0.076234375,23799138.58859191,20318380794.23292,37.47580404888076,37.47580404888076,3.623695499365718,25.0,1,1
2022-02-20,39928.77,-0.0012339255742519484,-0.041433532763468506,760545100140.8401,113.584188810601,0.076234375,23723341.490022358,20342104135.722942,37.38773015153532,37.38773015153532,3.62134257977892,27.0,1,1
2022-02-21,38274.38,-0.041433532763468506,-0.03160547603906316,729068492058.4141,111.126334948741,0.076234375,23209990.93385733,20365314126.6568,35.79952106430381,35.79952106430381,3.577934515225095,25.0,1,1
2022-02-22,37064.7,-0.03160547603906316,0.02254975758605915,706060260446.5741,108.7438041638,0.076234375,22712372.453560792,20388026499.11036,34.631123344742726,34.631123344742726,3.5447527963734213,20.0,1,1
2022-02-23,37900.5,0.02254975758605915,-0.009639714515639608,722016830673.104,108.134380966428,0.076234375,22585087.531472694,20410611586.64183,35.37458089426598,35.37458089426598,3.5659935083813035,25.0,1,1
2022-02-24,37535.15,-0.009639714515639608,0.023366364594253675,715091522389.0918,104.957725440993,0.076234375,21921607.124426577,20432533193.76626,34.99769292469611,34.99769292469611,3.555282142879576,23.0,1,1
2022-02-25,38412.21,0.023366364594253675,0.015217557125716041,731836134057.0153,104.132100499115,0.076234375,21749166.024622515,20454282359.790882,35.77911564845032,35.77911564845032,3.57736436140984,27.0,1,1
2022-02-26,38996.75,0.015217557125716041,0.012322821773609327,743008938122.4196,100.738663477071,0.076234375,21040408.35208174,20475322768.142963,36.28802078170159,36.28802078170159,3.5914876807931075,26.0,1,1
