,Average electricity cost assumption: 0.05 USD/kWh,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1375488000,2013-08-03T00:00:00,0.190445673083557,0.00286503792546388,0.051480065507473,1.66944677025046,0.0251149224546163,0.451274254238508
1375574400,2013-08-04T00:00:00,0.197264088590379,0.00296761320954526,0.0535789388373721,1.72921700058326,0.0260140973948737,0.469672977848403
1375660800,2013-08-05T00:00:00,0.204372608196121,0.00307455277889645,0.0557708685852276,1.79153028344719,0.0269515296598063,0.488887434018105
1375747200,2013-08-06T00:00:00,0.208850042574341,0.00314191067206711,0.057263263689997,1.83077947320667,0.0275419889513403,0.501969769506514
1375833600,2013-08-07T00:00:00,0.213654787566043,0.00321419258008069,0.0588365770787934,1.87289786780393,0.0281756121569873,0.515761434672703
1375920000,2013-08-08T00:00:00,0.223739775074529,0.00336590971401087,0.0616137961228472,1.96130286830332,0.0295055645530193,0.540106536812879
1376006400,2013-08-09T00:00:00,0.229840091249414,0.00345768201272148,0.0632937103757292,2.01477823989237,0.0303100405235165,0.554832665153642
1376092800,2013-08-10T00:00:00,0.239377665821406,0.00360116394341206,0.0659201820211458,2.09838461859045,0.0315678031279502,0.577856315597365
1376179200,2013-08-11T00:00:00,0.24591900554896,0.00369957093843243,0.067721546003967,2.15572600264218,0.0324304388462987,0.593647072270775
1376265600,2013-08-12T00:00:00,0.250692414283721,0.00377138142820309,0.0690360544881945,2.1975697036111,0.0330599295996283,0.605170053643513
1376352000,2013-08-13T00:00:00,0.251865519452397,0.00378902945739899,0.0693591059557726,2.20785314351971,0.0332146322235596,0.608001922808303
1376438400,2013-08-14T00:00:00,0.259340875946121,0.00390148766930852,0.0714176808819184,2.2733821185437,0.0342004409091585,0.626047390610897
1376524800,2013-08-15T00:00:00,0.263937626258933,0.00397064053462101,0.0726835409039323,2.31367723178581,0.0348066349264878,0.637143919563871
1376611200,2013-08-16T00:00:00,0.269821844288478,0.00405916188322076,0.0743039457241927,2.36525828703279,0.0355826130683132,0.651348388218273
1376697600,2013-08-17T00:00:00,0.278339257109932,0.00418729664399106,0.0766494836907899,2.43992192782566,0.0367058423812256,0.671909374033465
1376784000,2013-08-18T00:00:00,0.286756836556275,0.00431392952550471,0.0789675293922396,2.51371042925231,0.0378159062205743,0.692229362652372
1376870400,2013-08-19T00:00:00,0.29109048481389,0.00437912432049614,0.0801609359741667,2.55169918987856,0.0383874037934691,0.702690764749545
1376956800,2013-08-20T00:00:00,0.30197065159892,0.00454280401964482,0.0831571326846181,2.64707473191613,0.0398222200362065,0.728955425113362
1377043200,2013-08-21T00:00:00,0.308697124148197,0.00464399612680188,0.0850094788226215,2.7060389902831,0.0407092700475453,0.7451930913591
1377129600,2013-08-22T00:00:00,0.319747759524231,0.00481024033146238,0.0880526194303212,2.80290885998941,0.0421665667455992,0.771869261926196
1377216000,2013-08-23T00:00:00,0.326474232073508,0.00491143243861944,0.0899049655683247,2.86187311835637,0.043053616756938,0.788106928171934
1377302400,2013-08-24T00:00:00,0.329737058599716,0.00496051794206218,0.0908034876496267,2.89047505568511,0.043483900280117,0.795983372736628
1377388800,2013-08-25T00:00:00,0.330072998644079,0.0049655717768498,0.0908959993248351,2.893419906114,0.0435282021958653,0.796794330081505
1377475200,2013-08-26T00:00:00,0.339155862223768,0.00510221309931348,0.0933972519725782,2.97304028825355,0.044726000028582,0.81872031079162
1377561600,2013-08-27T00:00:00,0.34604831887528,0.00520590224796393,0.0952953070625608,3.0334595632607,0.0456349391056518,0.835358661710408
1377648000,2013-08-28T00:00:00,0.354297184530572,0.00532999702292949,0.0975668921062153,3.10576911959499,0.0467227539029999,0.855271376203083
