DateTime,Estimated TWh per Year,Minimum TWh per Year
2018-01-01 00:00:00,16.3268786609854,9.61146547427574
2018-01-02 00:00:00,16.3268786609854,9.6994226270785
2018-01-03 00:00:00,16.3268786609854,9.77013292547616
2018-01-04 00:00:00,16.3268786609854,9.69640460829766
2018-01-05 00:00:00,16.3268786609854,9.69186869519853
2018-01-06 00:00:00,16.3965616201722,9.59895832385143
2018-01-07 00:00:00,16.5433548409364,9.811489987835
2018-01-08 00:00:00,16.6951051477901,10.0650223597205
2018-01-09 00:00:00,16.8759412215013,10.0429869489214
2018-01-10 00:00:00,17.0449744469821,9.97102802442226
2018-01-11 00:00:00,17.1925525392549,10.3983351607637
2018-01-12 00:00:00,17.3638676807021,10.3977306125736
2018-01-13 00:00:00,17.5570156602646,10.6225366305333
2018-01-14 00:00:00,17.7447601855727,10.7482809738309
2018-01-15 00:00:00,17.915281302054,10.8087632289075
2018-01-16 00:00:00,18.0426519929113,10.8796388162871
2018-01-17 00:00:00,18.159445116844,11.1252294080108
2018-01-18 00:00:00,18.2757957979079,11.2434418596006
2018-01-19 00:00:00,18.3929089875864,11.3008705589516
2018-01-20 00:00:00,18.531873190693,11.6938580388623
2018-01-21 00:00:00,18.6478540843947,11.9040206006196
2018-01-22 00:00:00,18.7543820167439,12.0070101760286
2018-01-23 00:00:00,18.8582998461547,12.1039478493298
2018-01-24 00:00:00,18.9722811929069,12.2075420521758
2018-01-25 00:00:00,19.0844373781434,12.3149904254555
2018-01-26 00:00:00,19.1948199914424,12.4200614446024
2018-01-27 00:00:00,19.3132111248299,12.4287951905207
2018-01-28 00:00:00,19.4527781436119,12.4059594105506
2018-01-29 00:00:00,19.581866659053,12.7867734766097
2018-01-30 00:00:00,19.6902661488307,12.6982261773561
2018-01-31 00:00:00,19.8055435366529,12.8351553918524
2018-02-01 00:00:00,19.906699021009,13.078381936881
2018-02-02 00:00:00,19.9887756059498,13.2220082269623
2018-02-03 00:00:00,20.078467032036,13.3112566913318
2018-02-04 00:00:00,20.14568791511,13.4311563835556
2018-02-05 00:00:00,20.1876554137973,13.5010370972743
2018-02-06 00:00:00,20.2459115388954,13.5658140271777
2018-02-07 00:00:00,20.2977251688801,13.6422696540049
2018-02-08 00:00:00,20.3581752352882,13.6241604147
2018-02-09 00:00:00,20.4288304395591,13.6103506179851
2018-02-10 00:00:00,20.495471561503,13.5975082460025
2018-02-11 00:00:00,20.5553758284,13.5811513948776
2018-02-12 00:00:00,20.6235260038449,13.5687021572495
2018-02-13 00:00:00,20.6866489315466,13.6462458972824
2018-02-14 00:00:00,20.7622459935803,13.7294914495173
2018-02-15 00:00:00,20.8390741726889,13.8167442228502
2018-02-16 00:00:00,20.9170094625731,13.9356509402266
2018-02-17 00:00:00,21.0001070100651,14.0266484486613
2018-02-18 00:00:00,21.0730388438769,14.1136624911759
2018-02-19 00:00:00,21.1490454101584,14.2018289939626
2018-02-20 00:00:00,21.2159673638945,13.9287922110545
2018-02-21 00:00:00,21.2757295015185,13.5460270618849
2018-02-22 00:00:00,21.3294378182318,14.006868759529
2018-02-23 00:00:00,21.3908787363766,13.8789274919843
2018-02-24 00:00:00,21.4483158355505,14.0441615280057
2018-02-25 00:00:00,21.5065544898054,14.5014057542783
2018-02-26 00:00:00,21.5680466320986,14.2222897211089
2018-02-27 00:00:00,21.6305677198947,13.8944544446054
2018-02-28 00:00:00,21.6887953734859,14.2426888910983
2018-03-01 00:00:00,21.7494315214542,14.4673210288117
2018-03-02 00:00:00,21.8074645058084,14.1602744684964
2018-03-03 00:00:00,21.8648972967776,14.6711694993899
2018-03-04 00:00:00,21.9229823137192,14.5965219790315
2018-03-05 00:00:00,21.9791679534885,14.486518245484
2018-03-06 00:00:00,22.0289152545685,14.3845683337827
2018-03-07 00:00:00,22.0690073429659,14.4911835344642
2018-03-08 00:00:00,22.1006938867814,14.7408632559207
2018-03-09 00:00:00,22.135910154075,14.4390647630527
2018-03-10 00:00:00,22.1647435847877,14.3459088390402
2018-03-11 00:00:00,22.1986583536133,14.2794330318965
2018-03-12 00:00:00,22.2291411967373,14.3408302448025
2018-03-13 00:00:00,22.258337058077,14.3085709896867
2018-03-14 00:00:00,22.2755159566737,14.1208959375669
2018-03-15 00:00:00,22.2925305774775,14.0885420789236
2018-03-16 00:00:00,22.3085316186983,14.6821725143907
2018-03-17 00:00:00,22.316392946737,14.5092071471212
2018-03-18 00:00:00,22.322215429485,14.6338017365196
2018-03-19 00:00:00,22.3297291245348,14.7697290661358
2018-03-20 00:00:00,22.3380208464149,14.6423702080548
2018-03-21 00:00:00,22.346449487248,14.5395102559552
2018-03-22 00:00:00,22.3521401671839,14.390449024694
2018-03-23 00:00:00,22.3574068535441,14.5269420951517
2018-03-24 00:00:00,22.3608820225368,14.3378525880332
2018-03-25 00:00:00,22.3639188498731,14.5708838968529
2018-03-26 00:00:00,22.3639188498731,14.6757911726397
2018-03-27 00:00:00,22.3639188498731,14.3476920084777
2018-03-28 00:00:00,22.3639188498731,14.2022009704012
2018-03-29 00:00:00,22.3639188498731,13.9621761156782
2018-03-30 00:00:00,22.3639188498731,13.9854915854849
2018-03-31 00:00:00,22.3639188498731,13.9543639306411
2018-04-01 00:00:00,22.3639188498731,14.2053745635354
2018-04-02 00:00:00,22.3639188498731,14.0492097858706
2018-04-03 00:00:00,22.3639188498731,13.735241234027
2018-04-04 00:00:00,22.3639188498731,13.7365781269861
2018-04-05 00:00:00,22.3639188498731,13.6882875526571
2018-04-06 00:00:00,22.3639188498731,14.0025750129592
