Date,Price,Market_Cap,Energy_TWh_Annual,electricity_price,daily_energy_kwh,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban,period
2019-01-01,3674.0,64795731565.58009,38.0384708851242,0.041842,104214988.72636768,4360563.558288677,1723590102.5554917,37.5934692764308,3.626830345853461,0,Pre-ban
2019-01-10,4003.73,70668354505.01,39.2782108252528,0.041842,107611536.50754192,4502681.91054857,1763414687.3983457,40.074722644660845,3.690745777564888,0,Pre-ban
2019-01-19,3612.52,63814830311.92868,35.7973530894874,0.041842,98074939.97119837,4103651.6382748825,1801959237.587987,35.41413644703086,3.567111075088752,0,Pre-ban
2019-01-29,3415.46,60387723249.732735,37.9216827698788,0.041842,103895021.28733918,4347175.480704847,1844777771.6780243,32.734416132303885,3.488427005543485,0,Pre-ban
2019-02-07,3365.27,59547945920.81049,37.4411926376323,0.041842,102578609.96611588,4292094.198202222,1883114852.6648936,31.622046757552305,3.453854559526804,0,Pre-ban
2019-02-16,3563.94,63113594777.01296,35.707987400953,0.041842,97830102.4683644,4093407.147481303,1921128953.454559,32.85234687839282,3.4920231846433643,0,Pre-ban
2019-02-26,3805.52,67451026369.75781,36.7923433972698,0.041842,100800940.81443782,4217712.965557708,1963831293.441718,34.34665013996509,3.536504492514441,0,Pre-ban
2019-03-07,3845.53,68213878604.58148,36.8704136695499,0.041842,101014831.97136958,4226662.599346046,2002808464.6029527,34.05911239650395,3.5280976148980265,0,Pre-ban
2019-03-16,3899.11,69218516784.06558,38.0013248829737,0.041842,104113218.8574622,4356305.303433933,2040587038.774276,33.92088426948121,3.524030879849271,0,Pre-ban
2019-03-26,3890.74,69129763052.7809,40.0998004947506,0.041842,109862467.10890576,4596865.348770835,2087162702.0048409,33.12140590974424,3.500179777581834,0,Pre-ban
2019-04-04,5298.15,94209296398.4332,39.5700915363114,0.041842,108411209.68852438,4536141.835787238,2128301491.3260028,44.26501451151908,3.7901946248957623,0,Pre-ban
2019-04-13,5042.92,89740099568.02052,41.9322307158294,0.041842,114882823.87898466,4806927.116744476,2170179582.6402736,41.35146247152567,3.722107788958548,0,Pre-ban
2019-04-23,5368.86,95621763332.98782,42.4598050695098,0.041842,116328233.06715012,4867405.927995697,2219240703.050335,43.08760343191084,3.7632353323486223,0,Pre-ban
