Date,Price,Market_Cap,Energy_TWh_Annual,electricity_price,daily_energy_kwh,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban
2023-08-11,29415.0,573205596595.9546,120.229845867669,0.08074747500000001,329396837.9936137,26597962.94096838,26062992801.091175,21.99308425438986,3.090728051866158,1
2023-08-12,29382.63,572595905834.1772,122.034734502536,0.08074747500000001,334341738.36311233,26997251.159931958,26089990052.251106,21.946957614296686,3.0886285246433602,1
2023-08-13,29401.0,572974994038.6014,118.896619760211,0.08074747500000001,325744163.7266055,26303018.716909986,26116293070.968018,21.93936913181392,3.088282700186358,1
2023-08-14,29403.75,573049680413.8407,122.104794669328,0.08074747500000001,334533684.02555615,27012750.287511498,26143305821.255527,21.919556934836027,3.087379249048709,1
2023-08-15,29366.0,572335027188.4427,127.481133819364,0.08074747500000001,349263380.32702464,28202136.071371917,26171507957.3269,21.868630119504193,3.0850531953013656,1
2023-08-16,29171.0,568555439160.3876,127.608535903652,0.08074747500000001,349612427.13329315,28230320.719634917,26199738278.046535,21.700806058692404,3.0773494054183965,1
2023-08-17,28939.5,564064134791.3673,130.782458550062,0.08074747500000001,358308105.6166082,28932474.800574437,26228670752.84711,21.50563176100483,3.0683148432050213,1
2023-08-18,27643.0,538813651705.0638,129.141359309956,0.08074747500000001,353811943.3149479,28569421.04752518,26257240173.894634,20.520574444863435,3.0214280142997896,1
2023-08-19,25803.0,502967084895.382,125.727040474389,0.08074747500000001,344457645.1353123,27814085.089122508,26285054258.983757,19.135097836957172,2.95152423184903,1
2023-08-20,26120.67,509177978414.8337,128.655087176431,0.08074747500000001,352479690.8943316,28461845.02849777,26313516104.012257,19.35043482604724,2.962714890853656,1
2023-08-21,26120.5,509193340665.42377,127.680764185624,0.08074747500000001,349810312.837326,28246299.490574162,26341762403.50283,19.330268524391258,2.961672184711505,1
2023-08-22,26106.0,508929334377.1761,124.763795172055,0.08074747500000001,341818616.90973973,27600990.22345379,26369363393.726284,19.300023545439817,2.9601063158810708,1
2023-08-23,25857.92,504111553409.4375,123.263619034017,0.08074747500000001,337708545.2986767,27269112.31879127,26396632506.045074,19.097570619812632,2.949561134282942,1
2023-08-24,26595.5,518509989449.33246,122.209439783675,0.08074747500000001,334820382.96897256,27035900.503277544,26423668406.54835,19.622937340556188,2.976699154478768,1
2023-08-25,26013.0,507172043149.6994,122.445551635404,0.08074747500000001,335467264.7545315,27088134.57408492,26450756541.122437,19.174197999259857,2.953565521046666,1
2023-08-26,26040.25,507721907416.5792,122.808562274014,0.08074747500000001,336461814.4493534,27168441.950703807,26477924983.07314,19.175290652162385,2.9536225050087084,1
2023-08-27,25992.5,506809429618.92926,117.885032860399,0.08074747500000001,322972692.76821643,26079229.43498424,26504004212.508125,19.12199475805052,2.9508392305313538,1
2023-08-28,26098.0,508885097855.23114,112.852513721172,0.08074747500000001,309184969.09910136,24965905.562705465,26528970118.07083,19.182240983738456,2.953984902241049,1
2023-08-29,25992.47,506845881726.49817,114.847976905593,0.08074747500000001,314651991.52217263,25407353.81913685,26554377471.88997,19.087093352613405,2.949012365936062,1
2023-08-30,27577.0,537763406184.0991,112.160498533037,0.08074747500000001,307289037.0768137,24812813.83913409,26579190285.729103,20.2324976947411,3.0072901084493022,1
